title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
Home: A Unique Horror Adventure,2012-09-06,Adventure,Benjamin Rivers Inc.,Benjamin Rivers Inc.,0,6.5,Okay,21,21,350000,1.99
Symphony,2012-08-30,Shooter,Empty Clip Studios,Empty Clip Studios,0,7.0,Good,321,321,350000,6.19
Thirty Flights of Loving,2012-08-29,Adventure,Blendo Games,Blendo Games,0,8.0,Great,0,0,150000,3.99
Worms Revolution,2012-10-02,Strategy,Team17 Digital Ltd,Team17 Digital Ltd,0,8.5,Great,445,259,1500000,10.99
Shad'O,2012-09-28,Adventure,Okugi Studio,Okugi Sudio,0,7.0,Good,58,58,35000,3.99
Counter-Strike: Global Offensive,2012-08-27,Shooter,Valve;Hidden Path Entertainment,Valve,0,8.0,Great,22494,6502,75000000,0.0
Hotline Miami,2012-10-26,Action,Dennaton Games,Devolver Digital,18,8.8,Great,380,237,3500000,6.99
Edna & Harvey: Harvey's New Eyes,2012-10-26,Adventure,Daedalic Entertainment,Daedalic Entertainment,0,6.0,Okay,170,268,350000,15.99
Doom 3: BFG Edition,2012-10-25,RPG,id Software,Bethesda Softworks,18,7.6,Good,644,985,750000,14.99
Borderlands 2: Captain Scarlett and her Pirate's Booty,2012-10-18,"Shooter, RPG",Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),18,7.5,Good,3276,1139,7500000,19.99
Torchlight II,2012-09-20,"Action, RPG",Runic Games,Runic Games,0,9.1,Amazing,1037,508,3500000,14.99
Iron Brigade,2012-08-15,Action,Double Fine Productions,Double Fine Productions,0,9.0,Amazing,21,31,150000,10.99
Cortex Command,2012-10-09,"Action, Simulation",Data Realms,"Data Realms, LLC",0,5.0,Mediocre,199,229,1500000,14.99
XCOM: Enemy Unknown,2012-10-08,Strategy,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),12,8.2,Great,1470,1049,3500000,14.99
They Bleed Pixels,2012-09-18,Platformer,Spooky Squid Games Inc.,Spooky Squid Games Inc.,0,8.2,Great,300,390,350000,6.99
