title,genre,release_date
Agatha Christie: Death on the Nile,Adventure,2008-11-19
Age of Conan: Rise of the Godslayer,"Action, RPG",2010-06-01
American Conquest: Divided Nation,Strategy,2006-04-13
Anarchy Online: Shadowlands,RPG,2003-09-18
Apox,Strategy,2011-02-25
Arcania: Gothic IV,"Action, RPG",2010-10-12
Baldur's Gate -- Enhanced Edition,RPG,2012-11-30
Baldur's Gate II -- Enhanced Edition,RPG,2013-11-27
Baseball Mogul 2004,"Sports, Simulation",2003-04-30
Baseball Mogul 2009,"Sports, Simulation",2008-05-14
BattleForge,Strategy,2009-04-01
Besieger,Strategy,2004-06-09
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien,Platformer,2013-02-25
Blitzkrieg II,Strategy,2005-10-03
Bloodline Champions,Action,2011-02-25
Breach,Action,2011-02-07
Casino Inc.,Casino,2003-04-01
Chantelise: A Tale of Two Sisters,"Action, RPG",2011-08-12
Chaos Theory,Puzzle,2008-06-11
Clones,Strategy,2010-12-03
Codename: Panzers: Cold War,Strategy,2009-03-09
Commander -- Napoleon at War,Strategy,2008-11-04
Crime Stories,Adventure,2006-04-10
D-Day,Strategy,2004-12-09
Diaspora: Shattered Armistice,"Flight, Action",2012-10-24
Dungeons & Dragons Online: Stormreach,RPG,2006-03-22
E.Y.E.: Divine Cybermancy,Shooter,2011-08-05
Empires: Dawn of the Modern World,Strategy,2003-10-23
ER,"Strategy, RPG",2005-06-09
FlatOut [2005],Racing,2005-07-15
Frontline: Fields of Thunder,Strategy,2007-04-03
Game of Thrones: Episode 1 -- Iron From Ice,Adventure,2014-12-02
Geo-Political Simulator (2008),Simulation,2008-08-05
Gettysburg: Armored Warfare,Strategy,2012-03-30
Gravitron 2,Shooter,2008-10-23
Guncraft,Shooter,2013-08-27
Heaven & Hell,Strategy,2003-09-24
High School Musical 3: Senior Year -- Dance!,Music,2008-11-06
Hitman: Episode 1,Shooter,2016-03-10
Hitman: Episode 2,Shooter,2016-04-29
Hitman: Episode 4,Shooter,2016-08-19
Hunting Unlimited 2009,Hunting,2008-09-11
IL-2 Sturmovik: 1946,"Flight, Simulation",2007-03-23
Inside a Star-Filled Sky,Puzzle,2011-03-11
Instinct,Shooter,2007-08-27
Iron Warriors: T-72 Tank Commander,Simulation,2006-08-31
Joint Operations: Escalation,Shooter,2004-11-23
Journey to the Center of the Earth,Adventure,2004-03-29
Kentucky Route Zero: Act 1,Adventure,2013-01-11
King's Quest -- Episode 1: A Knight to Remember,Adventure,2015-07-28
Lords of the Realm III,Strategy,2004-03-30
