title,release_date,genre,score
Guild Wars 2,2012-09-11,RPG,9.0
Mass Effect 3: Leviathan,2012-08-31,RPG,7.5
Tom Clancy's Ghost Recon Phantoms,2012-08-29,Shooter,7.5
World of Warcraft: Mists of Pandaria,2012-10-04,RPG,8.7
War of the Roses,2012-10-03,Action,7.3
The Walking Dead: The Game -- Episode 3: Long Road Ahead,2012-08-28,Adventure,9.0
Hoodwink,2012-08-23,Adventure,2.5
Medal of Honor Warfighter,2012-10-26,Shooter,4.0
FIFA Soccer 13,2012-09-20,Sports,9.0
The Walking Dead: The Game -- Episode 4: Around Every Corner,2012-10-09,Adventure,7.5
Need for Speed Most Wanted,2012-10-30,"Racing, Action",9.0
The Walking Dead: The Game -- Episode 5: No Time Left,2012-11-19,Adventure,9.5
AirBuccaneers,2012-12-19,Action,7.5
Street Fighter X Mega Man,2012-12-18,Action,7.0
The Walking Dead -- Game of the Year Edition,2012-12-12,Adventure,9.3
The Walking Dead: A Telltale Game Series -- Season One,2012-12-12,Adventure,9.3
Forge,2012-12-12,Shooter,7.0
Ace of Spades,2013-01-04,Shooter,5.9
IGI 2: Covert Strike,2003-02-04,Shooter,8.0
Battlefield 1942: The Road to Rome,2003-01-31,Shooter,9.1
Impossible Creatures [2003],2003-01-09,Strategy,8.3
Drome Racers,2003-01-08,Racing,6.8
Trailer Park Tycoon,2003-01-06,Simulation,5.0
Earth 2150: Lost Souls,2003-01-06,Strategy,7.0
SimCity 4,2003-01-14,Simulation,9.2
The Sims Online,2003-01-13,Simulation,7.2
The Mystery of the Mummy,2003-02-12,Adventure,6.5
Command & Conquer Generals,2003-02-07,Strategy,9.3
Freelancer,2003-02-26,"Action, Simulation",9.2
Law & Order: Dead on the Money,2003-02-19,Adventure,8.0
Tom Clancy's Rainbow Six 3: Raven Shield,2003-03-20,Shooter,8.6
Ultima Online: Age of Shadows,2003-03-20,RPG,8.1
NASCAR Racing: 2003 Season,2003-03-11,Racing,9.3
A Tale in the Desert,2003-03-11,RPG,8.9
Airport Tycoon 2,2003-03-31,Simulation,2.5
The Gladiators: Galactic Circus Games,2003-03-05,Strategy,7.5
Total Immersion Racing,2003-03-27,Racing,7.0
Heroes of Might and Magic IV: Winds of War,2003-03-25,Strategy,6.9
World of Outlaws Sprint Cars,2003-03-24,Racing,8.5
Bandits: Phoenix Rising,2003-04-16,"Racing, Action",7.2
Rayman 3: Hoodlum Havoc,2003-04-10,"Action, Adventure",8.3
1503 A.D. The New World,2003-04-09,Strategy,7.3
New World Order,2003-04-04,Shooter,4.2
Devastation: Resistance Breeds Revolution,2003-04-03,Shooter,7.4
Harbinger,2003-04-03,"Action, RPG",4.0
MVP Baseball 2003,2003-04-03,Sports,8.3
Wingnuts: Temporal Navigator,2003-04-07,Shooter,2.2
Grom ... Terror in Tibet,2003-04-02,RPG,8.0
Metal Gear Solid 2: Substance,2003-04-02,"Action, Adventure",8.9
High Heat Major League Baseball 2004,2003-04-01,Sports,8.4
Zapper: One Wicked Cricket,2003-04-23,Platformer,5.5
Frogger Beyond,2003-04-23,Platformer,5.5
Shadowbane,2003-05-05,RPG,7.3
Pro Race Driver,2003-04-21,Racing,7.5
Purge,2003-04-29,Shooter,5.5
Tropico 2: Pirate Cove,2003-04-21,Simulation,8.4
Castles & Catapults,2003-04-18,Strategy,2.0
Hulk,2003-05-23,Action,8.0
Enter the Matrix,2003-05-20,Action,6.6
Empire of Magic,2003-06-16,Strategy,5.0
MotoGP 2,2003-06-10,Racing,8.4
Will Rock,2003-06-26,Shooter,7.2
The Sims: Superstar,2003-06-06,Simulation,8.3
Microsoft Flight Simulator 2004: A Century of Flight,2003-07-30,"Flight, Simulation",9.0
Combat Mission: Beyond Overlord (Special Edition),2003-05-30,Strategy,9.0
F1 Challenge '99-'02,2003-07-29,"Racing, Simulation",9.5
