title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
1001 Spikes,2014-06-08,Platformer,8.0,Great,"Nicalis, Inc.","Nicalis, Inc.",0,214,215,75000,9.99,7.14,14.37,16.91,13.38
140,2013-10-16,Platformer,8.0,Great,Carlsen Games,Carlsen Games,0,205,274,350000,3.99,1.2,2.23,5.26,1.56
1979 Revolution,2016-04-21,"Action,Adventure",8.0,Great,iNK Stories;N-Fusion Interactive,iNK Stories,0,0,0,75000,4.79,2.1,2.85,5.88,2.66
7 Wonders: Treasures of Seven,2008-11-06,Puzzle,5.9,Mediocre,MumboJumbo,MumboJumbo,0,0,0,35000,6.99,7.1,7.42,9.0,7.43
A Bird Story,2014-11-26,RPG,8.8,Great,Freebird Games,Freebird Games,0,257,476,350000,2.79,1.27,1.39,1.41,1.34
A Game of Thrones: Genesis,2011-10-14,Strategy,6.0,Okay,Cyanide Studios,Focus Home Interactive;1C-SoftClub,0,8,8,150000,6.99,10.2,19.27,61.51,20.65
A Valley Without Wind,2012-05-04,Adventure,5.5,Mediocre,"Arcen Games, LLC","Arcen Games, LLC",0,84,84,350000,0.0,13.0,16.25,58.33,18.82
A Vampyre Story,2008-12-12,Adventure,7.6,Good,Autumn Moon,Strategy First,0,0,0,10000,14.99,7.43,8.8,8.97,8.68
A Virus Named Tom,2012-08-02,"Puzzle,Action",7.0,Good,Misfits Attic,Misfits Attic,0,92,97,350000,6.99,4.12,11.07,26.88,5.7
A.R.E.S.: Extinction Agenda,2011-02-25,Platformer,7.5,Good,Extend Studio,Extend Studio;ORiGO GAMES,0,191,191,150000,3.99,2.38,3.54,10.33,2.99
Aaru's Awakening,2015-03-03,Platformer,6.7,Okay,Lumenox ehf,Lumenox ehf,0,0,0,35000,10.99,3.03,3.67,3.99,3.31
Abyss Odyssey,2014-07-24,Action,6.7,Okay,ACE Team,SEGA,16,173,256,350000,10.99,4.13,8.04,18.21,7.13
Aces of the Galaxy,2008-07-09,Action,7.5,Good,Artech Studios,Activision,0,0,0,10000,6.99,0.92,1.0,3.0,1.15
Achron,2011-09-16,Strategy,5.0,Mediocre,Hazardous Software Inc.,Hazardous Software Inc.,0,0,0,35000,14.99,70.0,0.0,0.0,70.0
Act of War: Direct Action,2005-03-14,Strategy,8.5,Great,Eugen Systems,THQ Nordic,0,0,0,35000,1.99,11.78,12.28,12.4,11.99
Adr1ft,2016-03-28,Adventure,6.0,Okay,THREE ONE ZERO,505 Games,0,0,0,75000,14.99,4.67,5.66,9.25,5.31
